t1,trgt,side,pt,sl
2011-08-04 18:19:18.324,0.011023071205869468,1.0,1,2
2011-08-04 14:45:47.218,0.01080306621832651,-1.0,1,2
2011-08-04 15:01:19.020,0.010608571951271439,-1.0,1,2
2011-08-04 14:45:47.218,0.010397666127895847,-1.0,1,2
2011-08-04 14:45:47.218,0.0101915791064306,-1.0,1,2
2011-08-04 14:17:30.873,0.009990341256641048,-1.0,1,2
2011-08-04 14:58:04.748,0.009810931598075568,-1.0,1,2
2011-08-04 14:58:04.748,0.009617584543418179,-1.0,1,2
2011-08-04 14:58:04.748,0.009435986260047673,-1.0,1,2
2011-08-04 14:45:47.218,0.009250134067181252,-1.0,1,2
2011-08-04 15:01:19.020,0.009068752256230347,-1.0,1,2
2011-08-04 15:27:00.898,0.008890578833910014,-1.0,1,2
2011-08-04 15:01:19.020,0.008717876653466843,-1.0,1,2
2011-08-04 15:01:19.020,0.008546309227902253,-1.0,1,2
2011-08-04 15:01:19.020,0.008410996682521512,-1.0,1,2
2011-08-04 15:27:00.898,0.00830078555422314,-1.0,1,2
2011-08-04 15:43:40.842,0.008173029839251623,-1.0,1,2
2011-08-04 15:43:40.842,0.008014114765983297,-1.0,1,2
2011-08-04 15:01:19.020,0.007902392234193058,-1.0,1,2
2011-08-04 14:58:04.748,0.007829957733830113,-1.0,1,2
2011-08-04 15:43:40.842,0.007877253736300228,-1.0,1,2
2011-08-04 15:46:46.223,0.007743325800839563,-1.0,1,2
2011-08-04 15:43:40.842,0.007661195421426626,-1.0,1,2
2011-08-04 15:46:46.223,0.007508920151723136,-1.0,1,2
2011-08-04 15:46:46.223,0.0073716043119307646,-1.0,1,2
2011-08-04 15:48:15.860,0.0073222477365654385,-1.0,1,2
2011-08-04 15:46:46.223,0.007200840949762495,-1.0,1,2
2011-08-04 15:46:46.223,0.0070395677015032835,-1.0,1,2
2011-08-04 15:46:46.223,0.007019455825882897,-1.0,1,2
2011-08-04 15:48:15.860,0.007140174419424599,-1.0,1,2
2011-08-04 15:48:15.860,0.007146071390236947,-1.0,1,2
2011-08-04 15:48:15.860,0.007189096899100381,-1.0,1,2
2011-08-04 18:27:50.147,0.007366232084568333,-1.0,1,2
2011-08-04 19:30:23.101,0.007639224199156786,-1.0,1,2
2011-08-04 19:44:06.743,0.007877976815268228,-1.0,1,2
2011-08-04 19:30:23.101,0.00791977569727081,-1.0,1,2
2011-08-04 19:30:23.101,0.007912589983899564,-1.0,1,2
2011-08-04 18:27:50.147,0.007815232601871443,-1.0,1,2
2011-08-04 19:30:23.101,0.007726167728107741,-1.0,1,2
2011-08-04 18:19:18.324,0.007578639137499151,-1.0,1,2
2011-08-04 18:19:18.324,0.007428842934173922,-1.0,1,2
2011-08-04 18:12:46.547,0.007288071062602104,-1.0,1,2
2011-08-04 18:04:23.673,0.00715147084400043,-1.0,1,2
2011-08-04 18:04:23.673,0.007009661085545973,-1.0,1,2
